Tweet,Sentiment
"#AskTamannaah @tamannaahspeaks
Hey tamannaah
Did u watch the full movie of #KGF?
BTW ur dance performance in the movie was top notch!!!",neutral
"Watched #KGF?
 #AskTamannaah",neutral
@tamannaahspeaks How was experience with kgf team and Rocky Bhai,neutral
@tamannaahspeaks *Hii madum !!! Plzz one word about Rocking star yash and KGF,positive
@tamannaahspeaks Hii Madum!!!! Plz reply One word about rocking star yash and KGF,neutral
@tamannaahspeaks #AskTamannaah hai fan from Bangalore. Few words about working with Yash in #KGF movie,neutral
"@tamannaahspeaks Whts ur opinion about yash?? With whom u recently worked in a movie called "" KGF""... Which is  hug https://t.co/REnjiMXZof",negative
@BrundaKarnataka @Advani_Kiara @vivekoberoi @ThisIsDSP @TheDasari @DVVMovies KGF and Petta In Urvashi... Y do u guy https://t.co/GjNyHMW0GN,neutral
@tamannaahspeaks Pls send the video link of your song in KGF,neutral
"One word About #kgf n #Yash 
#AskTamannaah",neutral
"@tamannaahspeaks How was the experience working with Rocking star Yash in KGF?  #AskTamannaah 
@tamannaahspeaks",neutral
@tamannaahspeaks What you think about #kgf #AskTamannaah,neutral
"About Yash in KGF.....

What's ur word on #KGF humongous succes.....#AskTamannaah",neutral
@tamannaahspeaks Have You Seen #KGF #AskTamannaah,neutral
@BhairthiRanagal @srkdaww @Ragsblr I said they will keep kgf I not said they will not take Petta,negative
#AskTamannaah hv u watched #KGF @tamannaahspeaks,neutral
@tamannaahspeaks Mam how is kgf movie,neutral
#KGF  look at it  https://t.co/B0LTWlupZE,neutral
"Hats off Pashant Neel for the use of slow mo in the best way possible.
#KGF is a fucking treat for 3 hrs .. worth every penny.

@KGFTheFilm",positive
Have you watched #KGF @tamannaahspeaks #AskTamannaah,neutral
